,id_cliente,cancelacion,genero,adulto_mayor,tiene_pareja,tiene_dependientes,antiguedad,servicio_de_telefono,lineas_multiples,servicio_internet,seguridad_en_linea,respaldo_en_linea,proteccion_dispositivo,soporte_tecnico,streaming_tv,streaming_peliculas,periodicidad_de_contrato,factura_electronica,forma_de_pago,cargos_mensuales,cargos_totales,cargos_diarios
1888,2674-MLXMN,0,Femenino,1,0,0,71,1,1,Fibra óptica,0,1,0,0,1,1,Mensual,1,TDC,99.65,6951.15,3.27365308804205
1889,2675-DHUTR,0,Masculino,1,1,0,58,1,1,Fibra óptica,0,1,0,0,1,1,Mensual,1,Cheque electrónico,98.9,5780.7,3.2490144546649145
1890,2675-IJRGJ,0,Masculino,0,0,0,53,1,0,No,2,2,2,2,2,2,Bienal,0,Tranferencia electrónica,19.65,978.0,0.645532194480946
1891,2675-OTVVJ,0,Masculino,1,1,0,31,1,1,Fibra óptica,1,0,0,0,1,0,Mensual,0,Cheque electrónico,89.45,2807.65,2.9385676741130093
1892,2676-ISHSF,0,Masculino,0,0,0,1,1,0,No,2,2,2,2,2,2,Mensual,0,Cheque,20.3,20.3,0.6668856767411301
1893,2676-OXPPQ,0,Masculino,0,0,0,6,1,0,DSL,1,1,0,0,0,0,Mensual,1,Tranferencia electrónica,55.7,335.65,1.8298291721419186
1894,2676-SSLTO,0,Masculino,0,0,0,49,1,1,DSL,0,0,0,1,1,0,Bienal,1,Tranferencia electrónica,66.15,3199.0,2.173127463863338
1895,2680-XKKNJ,0,Femenino,0,0,0,8,1,0,DSL,1,1,0,1,0,0,Anual,0,Tranferencia electrónica,58.2,469.25,1.9119579500657031
1896,2682-KEVRP,0,Femenino,1,0,0,22,1,0,No,2,2,2,2,2,2,Anual,1,Cheque,20.05,417.0,0.6586727989487516
1897,2683-BPJSO,1,Masculino,0,1,0,29,1,1,Fibra óptica,1,1,0,0,0,0,Mensual,1,Cheque electrónico,84.45,2467.1,2.7743101182654404
1898,2683-JXWQQ,0,Masculino,0,1,1,61,0,2,DSL,1,0,1,0,0,0,Mensual,0,Tranferencia electrónica,33.6,2117.2,1.1038107752956636
1899,2684-EIWEO,1,Femenino,1,0,0,30,1,1,Fibra óptica,1,1,1,0,0,0,Mensual,0,TDC,91.7,2758.15,3.012483574244415
1900,2685-SREOM,1,Femenino,0,1,1,25,1,1,Fibra óptica,0,0,1,0,0,1,Mensual,1,Cheque electrónico,89.1,2368.4,2.927069645203679
1901,2688-BHGOG,0,Masculino,1,0,0,9,1,0,Fibra óptica,0,0,0,0,0,1,Mensual,1,Cheque electrónico,79.55,718.55,2.6133377135348224
1902,2690-DVRVK,0,Masculino,0,1,1,5,1,0,No,2,2,2,2,2,2,Anual,0,Cheque electrónico,20.55,99.45,0.6750985545335085
1903,2691-NZETQ,1,Masculino,0,0,0,9,1,1,Fibra óptica,0,0,0,0,1,0,Mensual,1,Cheque electrónico,85.35,758.6,2.8038764783180024
1904,2692-AQCPF,0,Femenino,0,1,0,65,1,1,Fibra óptica,0,1,1,1,1,1,Anual,1,TDC,108.05,7118.9,3.5496057818659654
1905,2692-BUCFV,0,Masculino,1,0,0,29,1,0,Fibra óptica,0,1,1,0,1,1,Mensual,1,Tranferencia electrónica,101.45,2948.6,3.332785808147175
1906,2692-PFYTJ,0,Femenino,0,0,0,1,1,1,No,2,2,2,2,2,2,Mensual,1,Cheque,25.75,25.75,0.8459264126149802
1907,2694-CIUMO,0,Femenino,0,0,0,12,1,1,Fibra óptica,0,0,0,1,0,0,Mensual,1,TDC,79.55,958.25,2.6133377135348224
1908,2696-ECXKC,0,Femenino,0,1,1,55,1,1,Fibra óptica,1,0,0,0,1,1,Anual,0,Cheque,100.9,5448.6,3.314717477003942
1909,2696-NARTR,1,Masculino,0,0,0,11,1,0,Fibra óptica,0,0,0,1,0,0,Mensual,1,Cheque electrónico,73.85,926.25,2.4260840998685937
1910,2696-RZVZW,0,Masculino,0,1,0,68,1,1,No,2,2,2,2,2,2,Bienal,0,TDC,25.05,1629.2,0.8229303547963206
1911,2697-NQBPF,0,Masculino,0,0,0,34,1,1,Fibra óptica,0,1,0,1,1,1,Mensual,1,Cheque electrónico,105.35,3540.65,3.460906701708278
1912,2700-LUEVA,0,Masculino,0,0,0,1,1,0,No,2,2,2,2,2,2,Mensual,0,TDC,20.75,20.75,0.6816688567674113
1913,2703-AMTUL,0,Masculino,0,1,1,36,1,0,DSL,1,1,0,0,0,0,Anual,0,Cheque,53.65,1939.35,1.7624835742444152
1914,2706-QZIHY,0,Femenino,0,1,0,15,1,1,No,2,2,2,2,2,2,Bienal,0,Cheque,25.2,387.9,0.8278580814717477
1915,2709-UQGNP,0,Masculino,0,0,0,10,1,0,DSL,1,0,0,0,0,0,Mensual,1,Cheque,51.65,524.5,1.6967805519053876
1916,2710-WYVXG,0,Femenino,0,0,0,3,1,0,DSL,1,1,0,1,0,1,Bienal,0,Cheque,71.1,213.35,2.3357424441524306
1917,2712-SYWAY,0,Femenino,0,0,0,1,1,1,No,2,2,2,2,2,2,Mensual,1,Cheque electrónico,25.7,25.7,0.8442838370565046
1918,2716-GFZOR,0,Masculino,0,1,0,43,1,0,Fibra óptica,1,1,1,0,0,0,Mensual,1,TDC,86.1,3551.65,2.8285151116951375
1919,2717-HVIZY,0,Femenino,0,0,1,8,1,0,No,2,2,2,2,2,2,Mensual,0,Cheque,20.05,163.6,0.6586727989487516
1920,2718-GAXQD,1,Femenino,1,1,1,4,1,0,DSL,0,0,0,0,0,0,Mensual,0,Cheque electrónico,46.0,181.6,1.5111695137976346
1921,2718-YSKCS,0,Masculino,0,1,1,71,1,0,No,2,2,2,2,2,2,Bienal,1,Tranferencia electrónica,19.6,1387.45,0.6438896189224704
1922,2719-BDAQO,1,Masculino,0,0,0,17,1,0,Fibra óptica,1,0,0,0,1,1,Mensual,0,Cheque electrónico,93.85,1625.65,3.0831143232588696
1923,2720-FVBQP,0,Femenino,0,1,1,6,1,1,DSL,0,0,0,0,0,0,Mensual,1,TDC,48.95,273.25,1.6080814717477003
1924,2720-WGKHP,1,Masculino,1,0,0,2,1,1,Fibra óptica,0,0,0,0,1,1,Mensual,1,Cheque electrónico,94.0,181.7,3.088042049934297
1925,2722-JMONI,1,Femenino,1,1,0,1,1,0,DSL,1,0,0,0,0,0,Mensual,1,Cheque electrónico,49.55,49.55,1.6277923784494086
1926,2722-VOJQL,1,Masculino,0,0,0,64,1,1,Fibra óptica,0,1,0,1,1,1,Anual,1,TDC,105.65,6903.1,3.4707621550591328
1927,2724-FJDYW,0,Masculino,0,0,1,39,0,2,DSL,0,0,1,1,1,1,Anual,0,Tranferencia electrónica,54.85,2191.7,1.8019053876478317
1928,2725-IWWBA,0,Masculino,0,1,1,46,1,0,DSL,1,0,1,1,0,0,Anual,0,Cheque,56.9,2560.1,1.869250985545335
1929,2725-KXXWT,1,Masculino,0,1,0,1,1,0,Fibra óptica,0,0,0,0,1,1,Mensual,1,Cheque electrónico,90.75,90.75,2.981274638633377
1930,2725-TTRIQ,0,Femenino,0,1,1,72,1,1,DSL,1,0,1,1,1,1,Bienal,1,Tranferencia electrónica,84.2,5986.55,2.7660972404730617
1931,2729-VNVAP,0,Femenino,0,1,1,33,1,0,No,2,2,2,2,2,2,Bienal,0,TDC,19.8,641.35,0.6504599211563732
1932,2731-GJRDG,0,Femenino,0,0,0,32,1,1,Fibra óptica,1,0,1,1,1,1,Anual,1,Tranferencia electrónica,109.55,3608.0,3.598883048620236
1933,2732-ISEZX,0,Femenino,0,0,0,5,1,0,No,2,2,2,2,2,2,Mensual,1,Cheque,20.5,104.3,0.6734559789750328
1934,2737-WFVYW,1,Femenino,0,0,0,2,0,2,DSL,0,0,0,0,1,1,Mensual,1,Cheque electrónico,45.25,85.5,1.4865308804204993
1935,2737-YNGYW,1,Femenino,0,0,0,2,1,0,Fibra óptica,0,0,0,0,0,1,Mensual,0,Cheque electrónico,80.55,184.1,2.646189224704336
1936,2739-CACDQ,0,Femenino,1,0,0,17,1,1,Fibra óptica,0,0,1,0,0,0,Mensual,1,TDC,82.65,1470.05,2.7151773981603156
1937,2739-CCZMB,0,Masculino,0,0,1,5,1,0,No,2,2,2,2,2,2,Mensual,0,TDC,20.35,122.0,0.6685282522996058
1938,2740-JFBOK,0,Masculino,0,0,0,10,1,1,No,2,2,2,2,2,2,Mensual,1,Cheque electrónico,24.0,226.55,0.7884362680683311
1939,2740-TVLFN,0,Masculino,0,0,0,1,1,1,DSL,0,0,0,0,0,0,Mensual,1,Cheque electrónico,50.15,50.15,1.6475032851511169
1940,2746-DIJLO,0,Femenino,0,0,0,41,1,1,DSL,0,1,0,0,0,0,Anual,1,TDC,56.3,2364.0,1.8495400788436267
1941,2748-MYRVK,1,Femenino,0,0,0,63,1,1,Fibra óptica,0,1,0,0,1,1,Anual,0,Tranferencia electrónica,99.9,6137.0,3.2818659658344282
1942,2749-CTKAJ,0,Masculino,0,1,1,22,1,0,No,2,2,2,2,2,2,Anual,0,Cheque,20.15,419.9,0.6619579500657029
1943,2750-BJLSB,0,Femenino,0,0,0,47,1,0,Fibra óptica,1,0,1,1,1,1,Anual,1,Cheque electrónico,103.7,4730.6,3.4067017082785807
1944,2753-JMMCV,0,Masculino,0,0,0,65,1,1,DSL,0,1,1,1,0,1,Bienal,1,TDC,74.2,4805.65,2.437582128777924
1945,2754-SDJRD,0,Femenino,1,0,0,8,1,1,Fibra óptica,0,0,0,1,1,1,Mensual,1,TDC,100.15,908.55,3.290078843626807
1946,2754-VDLTR,1,Masculino,0,0,1,10,1,1,Fibra óptica,0,0,0,0,1,1,Mensual,0,Cheque electrónico,95.2,930.4,3.1274638633377134
1947,2754-XBHTB,1,Femenino,0,0,0,9,1,0,Fibra óptica,0,0,0,0,1,0,Mensual,1,Tranferencia electrónica,77.65,714.15,2.5509198423127466
1948,2758-RNWXS,0,Masculino,0,0,0,35,1,0,Fibra óptica,1,0,0,1,0,1,Anual,1,Cheque electrónico,89.2,3251.3,2.9303547963206307
1949,2761-OCIAX,1,Masculino,1,0,0,2,1,0,Fibra óptica,0,1,0,0,0,0,Mensual,1,Cheque electrónico,74.7,165.4,2.4540078843626807
1950,2761-XECQW,0,Masculino,1,1,0,8,0,2,DSL,0,1,1,0,0,1,Mensual,1,Cheque,43.35,371.4,1.424113009198423
1951,2770-NSVDG,0,Masculino,0,1,0,24,0,2,DSL,0,0,1,0,0,0,Mensual,0,Cheque electrónico,29.1,688.0,0.9559789750328516
1952,2773-MADBQ,0,Femenino,0,0,0,36,0,2,DSL,1,1,1,1,0,1,Bienal,1,Cheque,53.1,1901.25,1.7444152431011826
1953,2773-OVBPK,0,Masculino,0,1,0,67,1,1,Fibra óptica,0,1,1,1,1,1,Bienal,1,Tranferencia electrónica,111.3,7567.2,3.6563731931668855
1954,2774-LVQUS,1,Femenino,1,1,0,15,1,1,Fibra óptica,0,0,1,1,0,0,Mensual,1,Cheque electrónico,83.05,1258.3,2.7283180026281206
1955,2775-SEFEE,0,Masculino,0,0,1,0,1,1,DSL,1,1,0,1,0,0,Bienal,1,Tranferencia electrónica,61.9,,2.033508541392904
1956,2777-PHDEI,1,Femenino,0,0,0,1,1,0,Fibra óptica,0,0,0,0,1,0,Mensual,0,Cheque electrónico,78.05,78.05,2.5640604467805517
1957,2778-OCLGR,1,Masculino,1,1,0,24,0,2,DSL,1,0,0,0,0,1,Mensual,0,Tranferencia electrónica,39.1,971.3,1.2844940867279895
1958,2782-JEEBU,0,Masculino,0,0,0,21,0,2,DSL,0,1,0,1,0,0,Mensual,1,Cheque,36.0,780.15,1.1826544021024967
1959,2782-LFZVW,0,Femenino,0,0,0,11,1,1,DSL,0,0,0,0,0,1,Mensual,1,Cheque,58.95,601.6,1.9365965834428385
1960,2786-GCDPI,0,Femenino,1,0,0,50,1,1,Fibra óptica,0,0,1,1,1,1,Mensual,1,Cheque electrónico,104.95,5222.35,3.447766097240473
1961,2788-CJQAQ,0,Masculino,0,0,0,13,1,0,No,2,2,2,2,2,2,Anual,0,Cheque,19.45,270.2,0.6389618922470434
1962,2789-CZANW,0,Femenino,0,1,1,64,1,1,Fibra óptica,1,1,0,1,1,1,Bienal,0,Tranferencia electrónica,110.3,6997.3,3.6235216819973717
1963,2789-HQBOU,0,Masculino,0,0,0,3,1,0,Fibra óptica,0,0,0,0,0,1,Mensual,1,Cheque electrónico,80.35,253.8,2.6396189224704334
1964,2790-XUYMV,0,Masculino,0,0,1,71,1,1,Fibra óptica,1,1,0,0,0,0,Anual,1,TDC,85.45,6028.95,2.807161629434954
1965,2791-SFVEW,0,Femenino,0,0,0,9,1,0,No,2,2,2,2,2,2,Mensual,0,Tranferencia electrónica,20.15,238.15,0.6619579500657029
1966,2792-LSHWX,0,Femenino,0,0,0,1,1,0,Fibra óptica,1,1,0,1,0,0,Mensual,1,Cheque,83.4,83.4,2.7398160315374507
1967,2792-VPPET,0,Masculino,0,0,0,3,1,0,No,2,2,2,2,2,2,Mensual,1,Cheque electrónico,20.5,76.95,0.6734559789750328
1968,2794-XIMMO,1,Masculino,0,1,0,53,0,2,DSL,0,1,1,1,1,1,Anual,1,Cheque electrónico,60.45,3184.25,1.9858738501971092
1969,2796-NNUFI,0,Femenino,0,1,1,46,1,0,No,2,2,2,2,2,2,Bienal,1,Cheque,19.95,927.1,0.6553876478318003
1970,2796-UUZZO,0,Masculino,0,1,1,63,1,0,Fibra óptica,0,1,1,0,0,0,Mensual,1,TDC,80.3,4896.35,2.637976346911958
1971,2798-NYLMZ,0,Masculino,0,1,0,71,1,1,Fibra óptica,1,0,1,1,1,1,Bienal,1,TDC,108.55,7616.0,3.5660315374507223
1972,2799-ARNLO,0,Femenino,1,1,0,5,1,0,Fibra óptica,0,0,0,0,0,0,Mensual,1,Cheque electrónico,69.35,341.6,2.2782522996057817
1973,2799-TSLAG,0,Femenino,0,1,1,65,1,1,No,2,2,2,2,2,2,Bienal,1,Tranferencia electrónica,25.3,1748.55,0.831143232588699
1974,2800-QQUSO,0,Masculino,0,0,0,42,1,1,Fibra óptica,0,0,0,1,1,1,Mensual,1,Cheque electrónico,100.3,4222.95,3.2950065703022338
1975,2800-VEQXM,0,Femenino,0,0,0,3,1,0,Fibra óptica,0,0,1,0,0,0,Mensual,1,Cheque,74.75,238.1,2.455650459921156
1976,2801-NISEI,0,Masculino,0,0,0,24,1,0,DSL,1,0,0,1,0,0,Mensual,0,Cheque electrónico,54.95,1348.5,1.8051905387647833
1977,2804-ETQDK,0,Masculino,0,0,1,66,1,0,No,2,2,2,2,2,2,Bienal,0,Cheque,20.55,1357.1,0.6750985545335085
1978,2805-AUFQN,0,Femenino,0,0,0,25,1,0,No,2,2,2,2,2,2,Bienal,0,TDC,19.8,475.2,0.6504599211563732
1979,2805-EDJPQ,0,Femenino,0,1,1,56,1,1,Fibra óptica,0,1,1,1,0,1,Anual,1,TDC,99.75,5608.4,3.2769382391590014
1980,2806-MLNTI,0,Masculino,1,1,0,52,1,1,Fibra óptica,0,1,1,0,1,1,Anual,1,Tranferencia electrónica,105.1,5376.4,3.4526938239159
1981,2808-CHTDM,0,Femenino,0,1,1,23,1,1,No,2,2,2,2,2,2,Bienal,0,Cheque,25.1,611.45,0.8245729303547963
1982,2809-ILCYT,0,Femenino,0,1,0,25,1,1,No,2,2,2,2,2,2,Anual,1,Cheque,26.8,733.55,0.8804204993429697
1983,2809-ZMYOQ,0,Femenino,0,0,0,32,1,1,Fibra óptica,0,0,1,0,1,1,Mensual,1,Cheque electrónico,101.35,3334.9,3.329500657030223
1984,2810-FTLEM,1,Femenino,0,0,0,16,1,0,DSL,1,0,0,0,0,0,Mensual,1,Cheque electrónico,50.15,762.25,1.6475032851511169
1985,2811-POVEX,0,Femenino,1,1,1,23,1,0,Fibra óptica,0,1,1,0,0,1,Mensual,1,Tranferencia electrónica,88.45,2130.55,2.9057161629434956
1986,2812-ENYMO,0,Masculino,0,0,0,26,0,2,DSL,1,0,0,1,1,1,Anual,0,TDC,54.55,1362.85,1.7920499342969776
1987,2812-REYAT,0,Femenino,0,1,0,49,1,0,No,2,2,2,2,2,2,Anual,1,Tranferencia electrónica,20.05,923.1,0.6586727989487516
1988,2812-SFXMJ,0,Masculino,0,0,1,1,1,0,No,2,2,2,2,2,2,Mensual,0,Cheque,20.05,20.05,0.6586727989487516
1989,2815-CPTUL,1,Masculino,1,0,0,5,1,0,Fibra óptica,0,0,0,0,0,0,Mensual,1,Cheque,70.25,331.9,2.307818659658344
1990,2817-LVCPP,0,Femenino,0,0,0,50,1,0,No,2,2,2,2,2,2,Bienal,0,TDC,19.4,1023.95,0.6373193166885676
1991,2817-NTQDO,1,Masculino,0,0,0,13,0,2,DSL,1,0,0,1,1,0,Mensual,1,TDC,45.55,597.0,1.4963863337713532
1992,2819-GWENI,0,Femenino,0,1,1,28,1,0,No,2,2,2,2,2,2,Anual,0,Cheque,19.9,543.0,0.6537450722733245
1993,2821-WARNZ,0,Femenino,0,0,1,49,1,0,No,2,2,2,2,2,2,Anual,0,TDC,19.45,921.3,0.6389618922470434
1994,2823-LKABH,0,Femenino,0,0,0,18,1,1,Fibra óptica,0,0,1,1,0,1,Mensual,1,Tranferencia electrónica,95.05,1679.4,3.122536136662286
1995,2824-DXNKN,0,Femenino,0,1,1,72,1,1,DSL,1,0,1,0,1,0,Bienal,1,Tranferencia electrónica,71.45,5025.85,2.3472404730617606
1996,2824-MYYBN,0,Femenino,0,1,1,37,1,1,Fibra óptica,0,0,0,0,1,1,Mensual,1,Cheque electrónico,95.25,3314.15,3.129106438896189
1997,2826-DXLQO,0,Masculino,1,1,0,7,0,2,DSL,1,0,0,0,0,0,Mensual,0,Tranferencia electrónica,29.8,220.45,0.9789750328515111
1998,2826-UWHIS,0,Masculino,0,1,0,45,1,1,Fibra óptica,0,1,0,0,0,0,Mensual,0,Tranferencia electrónica,81.4,3775.85,2.674113009198423
1999,2828-SLQPF,0,Masculino,0,0,0,19,1,0,DSL,0,0,0,0,0,0,Mensual,1,Tranferencia electrónica,45.0,865.85,1.4783180026281209
2000,2829-HYVZP,0,Masculino,0,0,0,29,1,0,No,2,2,2,2,2,2,Anual,1,Cheque,19.8,572.2,0.6504599211563732
2001,2830-LEWOA,0,Masculino,0,1,1,61,1,0,Fibra óptica,0,1,1,1,1,1,Anual,0,TDC,103.9,6449.15,3.4132720105124834
2002,2831-EBWRN,0,Masculino,0,0,0,4,1,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque electrónico,45.9,199.75,1.5078843626806833
2003,2832-KJCRD,0,Femenino,0,0,0,38,1,1,Fibra óptica,0,0,1,1,1,1,Mensual,1,Cheque electrónico,103.65,3988.5,3.405059132720105
2004,2832-SCUCO,0,Femenino,0,0,0,2,1,0,No,2,2,2,2,2,2,Mensual,0,Cheque electrónico,19.9,57.4,0.6537450722733245
2005,2833-SLKDQ,1,Masculino,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Mensual,0,Cheque,45.05,45.05,1.4799605781865963
2006,2834-JKOOW,0,Femenino,0,0,0,15,0,2,DSL,1,1,1,1,0,0,Anual,0,Cheque,45.9,693.45,1.5078843626806833
2007,2834-JRTUA,1,Masculino,0,0,0,71,1,1,Fibra óptica,1,0,1,1,1,1,Bienal,1,Cheque electrónico,108.05,7532.15,3.5496057818659654
2008,2834-SPCJV,1,Masculino,0,1,0,52,1,0,Fibra óptica,1,0,0,0,1,0,Mensual,0,Cheque electrónico,84.1,4348.65,2.76281208935611
2009,2839-RFSQE,1,Femenino,0,0,0,2,1,0,No,2,2,2,2,2,2,Mensual,0,Cheque,20.65,38.7,0.6783837056504598
2010,2840-XANRC,1,Masculino,1,1,0,24,1,0,Fibra óptica,0,0,1,0,1,1,Mensual,1,Cheque electrónico,93.15,2231.05,3.0601182654402104
2011,2842-BCQGE,0,Masculino,0,0,0,43,1,1,Fibra óptica,0,0,0,0,0,0,Mensual,1,TDC,75.35,3161.4,2.4753613666228644
2012,2842-JTCCU,1,Masculino,0,0,0,2,1,0,DSL,0,0,0,0,0,0,Mensual,0,Tranferencia electrónica,46.05,80.35,1.5128120893561103
2013,2843-CQMEG,0,Masculino,0,0,0,24,1,0,DSL,0,1,0,0,0,0,Mensual,1,Cheque,49.7,1218.25,1.6327201051248357
2014,2845-AFFTX,1,Masculino,1,1,0,41,1,1,Fibra óptica,0,0,1,0,1,1,Mensual,1,Cheque electrónico,99.8,4259.3,3.278580814717477
2015,2845-HSJCY,1,Femenino,0,1,1,14,1,1,Fibra óptica,0,0,1,0,0,1,Mensual,1,Cheque electrónico,87.25,1258.6,2.8662943495400786
2016,2845-KDHVX,0,Femenino,0,1,0,64,1,0,DSL,0,1,1,1,0,1,Bienal,1,Cheque,68.3,4378.8,2.243758212877792
2017,2848-YXSMW,0,Masculino,0,1,1,72,1,0,No,2,2,2,2,2,2,Bienal,0,TDC,19.4,1363.25,0.6373193166885676
2018,2851-MMUTZ,0,Femenino,0,0,0,27,1,0,DSL,0,1,0,1,0,0,Mensual,1,Cheque,56.15,1439.35,1.8446123521681996
2019,2851-STERV,0,Masculino,1,0,0,35,1,0,DSL,0,0,1,1,1,1,Anual,1,Cheque electrónico,73.0,2471.25,2.3981603153745072
2020,2853-CWQFQ,0,Masculino,0,0,1,1,1,0,DSL,0,0,0,1,0,1,Mensual,1,Cheque,59.55,59.55,1.9563074901445465
2022,2856-HYAPG,1,Femenino,0,0,0,1,1,0,Fibra óptica,0,0,0,0,0,0,Mensual,0,Cheque electrónico,68.65,68.65,2.2552562417871225
2023,2856-NNASM,1,Masculino,1,0,0,43,1,0,Fibra óptica,0,0,0,0,1,1,Mensual,1,Cheque,89.55,3856.75,2.9418528252299603
2024,2858-EIMXH,0,Femenino,1,1,0,53,1,1,Fibra óptica,0,0,0,0,1,1,Anual,1,TDC,95.85,5016.25,3.148817345597897
2025,2858-MOFSQ,1,Femenino,0,0,1,17,1,1,DSL,0,0,1,0,0,0,Anual,1,Cheque,55.85,937.5,1.8347568988173455
2026,2860-RANUS,1,Femenino,1,0,0,20,1,1,Fibra óptica,0,0,0,0,0,1,Mensual,1,TDC,85.8,1727.5,2.818659658344284
2027,2862-JVEOY,0,Masculino,0,0,0,6,1,0,No,2,2,2,2,2,2,Anual,0,Cheque,19.15,124.4,0.6291064388961891
2028,2862-PFNIK,0,Masculino,0,0,1,1,0,2,DSL,0,0,0,0,0,0,Mensual,1,Cheque electrónico,24.7,24.7,0.8114323258869908
2029,2863-IMQDR,0,Femenino,0,0,0,61,1,1,DSL,1,1,1,1,1,1,Bienal,0,Cheque electrónico,89.65,5308.7,2.945137976346912
2030,2865-TCHJW,1,Femenino,1,0,0,4,1,1,Fibra óptica,0,0,1,0,1,0,Mensual,1,Cheque electrónico,89.2,346.2,2.9303547963206307
2031,2866-IKBTM,0,Femenino,0,0,0,1,1,0,No,2,2,2,2,2,2,Mensual,0,Cheque,19.55,19.55,0.6422470433639947
2032,2867-UIMSS,1,Masculino,0,0,0,1,1,0,Fibra óptica,0,0,0,0,0,1,Mensual,0,Cheque electrónico,80.5,80.5,2.6445466491458607
2033,2868-LLSKM,0,Femenino,0,1,1,68,1,1,Fibra óptica,0,1,0,1,0,0,Anual,1,Tranferencia electrónica,83.65,5733.4,2.7480289093298294
2034,2868-MZAGQ,1,Masculino,0,0,0,1,1,0,Fibra óptica,0,0,0,0,0,1,Mensual,1,Cheque electrónico,79.25,79.25,2.6034822601839682
2035,2868-SNELZ,1,Femenino,0,0,0,2,1,1,Fibra óptica,0,0,1,0,0,0,Mensual,0,Cheque,80.6,155.8,2.6478318002628116
2036,2869-ADAWR,1,Femenino,0,0,0,45,1,1,Fibra óptica,0,1,0,0,1,0,Mensual,1,TDC,89.3,4016.85,2.933639947437582
2037,2873-ZLIWT,1,Femenino,0,1,1,40,1,1,Fibra óptica,0,0,1,1,0,0,Mensual,1,Cheque electrónico,84.85,3303.05,2.7874507227332455
2038,2874-YXVVA,0,Femenino,0,0,0,34,1,0,Fibra óptica,0,1,1,1,1,1,Mensual,1,Cheque electrónico,105.1,3634.8,3.4526938239159
2039,2876-GZYZC,0,Femenino,0,0,0,13,1,1,Fibra óptica,0,0,0,0,0,1,Mensual,1,Cheque electrónico,85.95,1215.65,2.823587385019711
2040,2876-VBBBL,1,Femenino,0,0,0,1,1,0,No,2,2,2,2,2,2,Mensual,1,Cheque,20.25,20.25,0.6652431011826544
2041,2877-VDUER,0,Femenino,0,1,1,35,0,2,DSL,0,0,0,1,1,0,Anual,0,Cheque,40.9,1383.6,1.3436268068331143
2042,2878-DHMIN,0,Masculino,0,1,1,35,1,0,No,2,2,2,2,2,2,Anual,0,Cheque electrónico,19.9,666.0,0.6537450722733245
2043,2878-RMWXY,0,Masculino,1,1,0,72,1,1,Fibra óptica,1,1,1,0,0,1,Bienal,1,TDC,102.65,7550.3,3.3722076215505914
2044,2880-FPNAE,0,Masculino,1,1,0,2,1,0,Fibra óptica,0,0,1,0,0,0,Mensual,1,Cheque electrónico,74.2,140.1,2.437582128777924
2045,2882-DDZPG,0,Femenino,0,0,0,12,1,0,No,2,2,2,2,2,2,Mensual,0,Tranferencia electrónica,19.45,227.45,0.6389618922470434
2046,2882-WDTBA,0,Masculino,0,1,1,69,1,0,DSL,1,1,1,1,1,0,Bienal,1,Tranferencia electrónica,75.75,5388.15,2.48850197109067
2047,2883-ILGWO,0,Masculino,1,0,0,57,1,1,Fibra óptica,0,1,0,1,1,1,Mensual,1,Tranferencia electrónica,104.9,5913.95,3.446123521681997
2048,2884-GBPFB,1,Femenino,0,1,0,35,1,0,Fibra óptica,0,0,0,0,0,0,Mensual,1,Cheque electrónico,70.3,2416.55,2.3094612352168196
2049,2885-HIJDH,0,Masculino,0,1,1,69,1,1,DSL,1,0,1,1,1,1,Bienal,0,Tranferencia electrónica,86.9,6194.1,2.854796320630749
2050,2886-KEFUM,1,Femenino,0,1,0,63,1,1,Fibra óptica,0,1,1,0,1,1,Anual,1,Cheque electrónico,107.5,6873.75,3.531537450722733
2051,2887-JPYLU,0,Femenino,0,0,1,41,1,0,DSL,0,0,0,0,0,0,Mensual,0,Tranferencia electrónica,45.2,1841.9,1.4848883048620236
2052,2888-ADFAO,0,Femenino,0,1,1,47,1,0,No,2,2,2,2,2,2,Bienal,1,Tranferencia electrónica,21.3,1041.8,0.6997371879106439
2053,2889-FPWRM,1,Masculino,0,1,0,72,1,1,Fibra óptica,1,1,1,1,1,1,Anual,1,Tranferencia electrónica,117.8,8684.8,3.869908015768725
2054,2890-WFBHU,0,Femenino,0,0,0,59,1,1,DSL,1,1,1,1,0,1,Anual,0,TDC,79.85,4786.1,2.6231931668856765
2055,2892-GESUL,0,Femenino,0,1,1,18,1,0,No,2,2,2,2,2,2,Bienal,0,Cheque,19.35,309.25,0.635676741130092
2056,2894-QOJRX,1,Femenino,0,1,0,25,0,2,DSL,0,0,0,0,1,0,Mensual,1,Tranferencia electrónica,34.0,853.0,1.1169513797634691
2057,2896-TBNBE,0,Masculino,0,1,0,40,1,0,Fibra óptica,0,1,1,0,0,0,Anual,0,Cheque electrónico,80.8,3132.75,2.654402102496715
2058,2897-DOVND,0,Masculino,0,0,0,2,1,0,Fibra óptica,0,0,0,0,0,0,Mensual,1,Cheque electrónico,69.8,146.65,2.2930354796320627
2059,2898-LSJGD,1,Femenino,0,1,1,21,0,2,DSL,1,0,1,0,1,1,Anual,1,Cheque electrónico,55.95,1157.05,1.838042049934297
2060,2898-MRKPI,0,Masculino,0,1,1,68,1,1,Fibra óptica,0,1,0,0,1,1,Anual,1,TDC,101.05,6770.5,3.319645203679369
2061,2900-PHPLN,0,Femenino,1,1,0,70,1,0,No,2,2,2,2,2,2,Bienal,1,TDC,19.55,1462.05,0.6422470433639947
